dataset,rtimeinst,rtime3,rtime2000
qt,75.327043,25.109014,0.043403
qt,207.120092,69.040031,0.112005
qt,112.779456,37.593152,0.062293
qt,112.816012,37.605337,0.061658
qt,81.935218,27.311739,0.046709
qt,74.68623,24.89541,0.043007
qt,177.525869,59.17529,0.097159
qt,78.370744,26.123581,0.044711
qt,113.526887,37.842296,0.059704
qt,7.807273,2.602424,0.004591
qt,103.853206,34.617735,0.055529
qt,89.729768,29.909923,0.051165
qt,81.849135,27.283045,0.046588
qt,62.164499,20.7215,0.035835
qt,72.388868,24.129623,0.041236
qt,64.935992,21.645331,0.038666
qt,79.449571,26.48319,0.04582
qt,61.243988,20.414663,0.035112
qt,122.97511,40.991703,0.067668
qt,213.419694,71.139898,0.117537
qt,73.532396,24.510799,0.042321
qt,64.660196,21.553399,0.037197
qt,98.664148,32.888049,0.054825
qt,63.391806,21.130602,0.036722
qt,122.669122,40.889707,0.06446
qt,181.48626,60.49542,0.100176
qt,143.522539,47.840846,0.078918
qt,97.741272,32.580424,0.053866
qt,109.435812,36.478604,0.060304
qt,226.276792,75.425597,0.123941
qt,227.788782,75.929594,0.12133
qt,7.378813,2.459604,0.004406
qt,62.147228,20.715743,0.035063
qt,59.27681,19.758937,0.03584
qt,7.768491,2.589497,0.004646
qt,46.362342,15.454114,0.028199
qt,107.93759,35.979197,0.057768
qt,89.8058,29.935267,0.051374
qt,89.470917,29.823639,0.048508
qt,68.722443,22.907481,0.040115
qt,152.890371,50.963457,0.080297
qt,103.958209,34.652736,0.055925
qt,80.122232,26.707411,0.048308
qt,71.547315,23.849105,0.042743
qt,7.928401,2.6428,0.004721
qt,73.995966,24.665322,0.044128
qt,116.18081,38.726937,0.061342
qt,102.165642,34.055214,0.057801
qt,66.135872,22.045291,0.03813
qt,144.05941,48.019803,0.078902
qt,67.44503,22.481677,0.039565
qt,64.923911,21.641304,0.039022
qt,74.621589,24.873863,0.042545
qt,116.022281,38.674094,0.059661
qt,91.536445,30.512148,0.052577
qt,77.558101,25.8527,0.044604
qt,83.378695,27.792898,0.046537
qt,123.961011,41.320337,0.068338
qt,91.464568,30.488189,0.05119
qt,7.549556,2.516519,0.00468
qt,97.362597,32.454199,0.050105
qt,259.480014,86.493338,0.139921
qt,69.145322,23.048441,0.039957
qt,85.247571,28.415857,0.047101
qt,71.582793,23.860931,0.041691
qt,71.803829,23.93461,0.041358
qt,71.795463,23.931821,0.040129
qt,69.606973,23.202324,0.040291
qt,47.213598,15.737866,0.028516
qt,57.153405,19.051135,0.034284
qt,61.402249,20.467416,0.035179
qt,61.474778,20.491593,0.035669
qt,48.268295,16.089432,0.02869
qt,25.925656,8.641885,0.015592
qt,114.234891,38.078297,0.060075
qt,118.689455,39.563152,0.063271
qt,216.136389,72.045463,0.115654
qt,99.04719,33.01573,0.053496
qt,57.027993,19.009331,0.032327
qt,68.770116,22.923372,0.039621
qt,96.407838,32.135946,0.053702
qt,66.968442,22.322814,0.03926
qt,103.648783,34.549594,0.056371
qt,40.250961,13.416987,0.023421
qt,65.302162,21.767387,0.03789
qt,59.005697,19.668566,0.033806
qt,87.023624,29.007875,0.049991
qt,7.493319,2.497773,0.004634
qt,68.91013,22.970043,0.03987
qt,168.837183,56.279061,0.093349
qt,72.801749,24.26725,0.041504
qt,85.219282,28.406427,0.0482
qt,113.988301,37.9961,0.060286
qt,27.635835,9.211945,0.016894
qt,47.988915,15.996305,0.02779
qt,69.166895,23.055632,0.039996
