dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,8.80164,0.048096,71.769366,0.327714
openstack,0.073289,0.036645,0.459476,0.041771
openstack,0.108564,0.036188,0.713315,0.059443
openstack,0.286519,0.040931,4.588582,0.352968
openstack,3.128211,0.065171,31.992374,0.639847
openstack,2.4937,0.08599,11.426861,0.24841
openstack,3.302798,0.094366,26.931035,0.472474
openstack,0.049892,0.049892,0.340421,0.030947
openstack,5.156562,0.234389,19.774795,0.581612
openstack,0.051622,0.051622,0.411568,0.037415
openstack,0.593855,0.03959,6.488072,0.360448
openstack,1.989289,0.05235,18.106369,0.317656
openstack,1.302997,0.050115,12.902824,0.30721
openstack,0.06828,0.06828,0.353645,0.035364
openstack,3.134702,0.062694,20.677898,0.304087
openstack,0.051887,0.051887,0.306742,0.027886
openstack,5.965282,0.152956,31.056541,0.517609
openstack,3.79727,0.180822,8.345352,0.298048
openstack,8.521336,0.152167,45.045424,0.585006
openstack,2.324332,0.055341,28.344821,0.480421
openstack,12.191838,0.069272,71.173422,0.337315
openstack,6.714269,0.142857,38.031492,0.633858
openstack,0.121012,0.060506,0.408299,0.037118
openstack,1.561533,0.031231,18.285166,0.186583
openstack,1.468547,0.05064,10.449751,0.282426
openstack,1.779302,0.068435,11.827988,0.303282
openstack,1.872904,0.098574,9.246426,0.264184
openstack,0.075886,0.037943,0.512547,0.042712
openstack,5.704013,0.300211,14.022111,0.609657
openstack,0.174436,0.043609,1.347044,0.079238
openstack,0.594457,0.034968,5.350982,0.198185
openstack,1.399924,0.069996,9.213473,0.34124
openstack,0.274941,0.045823,1.843571,0.115223
openstack,3.357849,0.081899,24.582157,0.523025
openstack,0.044129,0.044129,0.340313,0.030938
openstack,1.212565,0.080838,7.95325,0.256556
openstack,0.10133,0.050665,0.351035,0.035104
openstack,1.276533,0.058024,11.793265,0.33695
openstack,1.916378,0.119774,8.31488,0.377949
openstack,3.695194,0.054341,41.836434,0.387374
openstack,0.077383,0.038691,0.378005,0.034364
openstack,0.506745,0.046068,4.380363,0.175215
openstack,0.050541,0.050541,0.310987,0.028272
openstack,0.765588,0.069599,3.573306,0.178665
openstack,1.721638,0.063764,14.455091,0.289102
openstack,0.05085,0.05085,0.28156,0.025596
openstack,0.4742,0.036477,5.480824,0.156595
openstack,0.030825,0.030825,0.469016,0.039085
openstack,0.196453,0.039291,1.276535,0.079783
openstack,0.07303,0.036515,0.439065,0.039915
openstack,0.51821,0.057579,3.337132,0.145093
openstack,0.027428,0.027428,0.435131,0.036261
openstack,0.131183,0.043728,1.041155,0.06941
openstack,0.113945,0.028486,0.504441,0.042037
openstack,0.659109,0.031386,9.996663,0.277685
openstack,0.065016,0.065016,0.443163,0.040288
openstack,0.067354,0.033677,0.432069,0.036006
openstack,1.135325,0.029111,16.064664,0.292085
openstack,0.683655,0.037981,8.718894,0.322922
openstack,2.445633,0.027174,32.909929,0.213701
openstack,1.269603,0.039675,16.275613,0.275858
openstack,4.545088,0.146616,18.680539,0.345936
openstack,7.508257,0.102853,56.618176,0.735301
openstack,0.39276,0.035705,4.02606,0.191717
openstack,0.235153,0.078384,0.817502,0.08175
openstack,2.893568,0.103342,14.973043,0.287943
openstack,0.069686,0.069686,0.27814,0.027814
openstack,8.883111,0.145625,43.565643,0.59679
openstack,2.398503,0.057107,21.91752,0.447296
openstack,3.414117,0.092273,15.948016,0.31896
openstack,3.37405,0.076683,24.226884,0.397162
openstack,4.191869,0.065498,39.188898,0.450447
openstack,0.64676,0.035931,9.473568,0.326675
openstack,2.798956,0.147313,9.454879,0.378195
openstack,2.045675,0.046493,20.201794,0.360746
openstack,1.605209,0.053507,12.882368,0.330317
openstack,8.747904,0.156213,40.685565,0.549805
openstack,6.255302,0.122653,42.758892,0.724727
openstack,8.961975,0.144548,62.056966,0.795602
openstack,0.067984,0.033992,0.402131,0.036557
openstack,3.771476,0.076969,36.927885,0.485893
openstack,6.237309,0.145054,31.653286,0.555321
openstack,12.119226,0.068859,71.365139,0.338223
openstack,3.251074,0.072246,22.746956,0.32038
openstack,2.450766,0.084509,17.343927,0.377042
openstack,1.180944,0.035786,13.908021,0.239793
openstack,0.833562,0.037889,9.799015,0.192138
